id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
194.0,Cross River,Q1 2022,13,0,1,0,2,0,0,1,1,0,1,2,0,0,0,0,0,SPV,Speed Violation
195.0,Delta,Q1 2022,51,0,13,4,6,1,0,6,2,0,2,0,0,0,0,0,21,SPV,Speed Violation
196.0,Ebonyi,Q1 2022,20,0,2,0,0,0,0,12,2,0,1,0,0,0,0,0,3,SPV,Speed Violation
197.0,Edo,Q1 2022,80,0,4,2,16,0,0,9,0,0,2,1,0,0,0,0,7,SPV,Speed Violation
198.0,Ekiti,Q1 2022,19,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,SPV,Speed Violation
199.0,Enugu,Q1 2022,18,0,1,0,17,1,0,4,0,0,0,1,0,0,0,0,20,SLV,Other
200.0,Fct,Q1 2022,240,0,27,3,4,0,0,4,33,0,24,3,2,2,0,1,65,SPV,Speed Violation
201.0,Gombe,Q1 2022,53,0,4,3,0,0,2,9,7,2,3,0,0,0,0,0,14,SPV,Speed Violation
202.0,Imo,Q1 2022,5,0,3,0,7,0,0,1,1,0,0,0,0,0,0,0,10,SLV,Other
203.0,Jigawa,Q1 2022,168,1,13,0,0,11,0,6,2,0,3,0,0,0,0,0,0,SPV,Speed Violation
204.0,Kaduna,Q1 2022,110,0,13,2,1,1,1,15,19,2,13,1,0,0,0,4,0,SPV,Speed Violation
205.0,Kano,Q1 2022,80,0,5,1,2,2,0,6,7,0,5,3,0,0,0,1,11,SPV,Speed Violation
206.0,Katsina,Q1 2022,10,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,SPV,Speed Violation
207.0,Kebbi,Q1 2022,57,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
208.0,Kogi,Q1 2022,132,1,9,5,13,2,0,20,11,0,6,2,10,0,0,1,2,SPV,Speed Violation
209.0,Kwara,Q1 2022,109,1,10,4,5,0,0,7,4,0,2,0,0,0,0,0,3,SPV,Speed Violation
210.0,Lagos,Q1 2022,88,0,9,9,34,0,0,6,13,0,14,0,0,3,0,6,0,SPV,Speed Violation
211.0,Nasarawa,Q1 2022,183,0,10,6,6,3,0,18,27,0,17,5,0,0,0,0,44,SPV,Speed Violation
212.0,Niger,Q1 2022,124,0,8,0,2,2,0,22,1,2,3,1,0,0,0,21,4,SPV,Speed Violation
213.0,Ogun,Q1 2022,260,0,7,5,7,2,0,16,7,0,18,0,1,2,0,0,4,SPV,Speed Violation
214.0,Ondo,Q1 2022,95,0,11,3,8,2,0,9,22,0,7,0,0,0,0,0,0,SPV,Speed Violation
215.0,Osun,Q1 2022,75,0,18,6,4,1,1,13,2,1,15,0,0,0,0,0,1,SPV,Speed Violation
216.0,Oyo,Q1 2022,124,0,14,5,12,2,0,14,15,0,10,1,0,0,0,4,0,SPV,Speed Violation
217.0,Plateau,Q1 2022,26,0,0,2,18,1,0,8,6,0,7,1,0,1,0,0,1,SPV,Speed Violation
218.0,Rivers,Q1 2022,20,0,4,1,3,0,0,2,3,0,4,0,0,0,0,0,0,SPV,Speed Violation
219.0,Sokoto,Q1 2022,19,0,3,0,1,0,1,2,1,0,1,0,0,0,0,0,0,SPV,Speed Violation
220.0,Taraba,Q1 2022,21,0,5,0,0,3,0,12,16,0,1,0,0,0,0,3,13,SPV,Speed Violation
